Instrument,Date,ESG Combined Score,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score,ESG Controversies Score,Resource Use Score,Emissions Score,Environmental Innovation Score
ACAD.OQ,2016-12-31T00:00:00Z,18.25170601,18.25170601,0,43.20279979,7.68629124,100,0,0,0
ACAD.OQ,2017-12-31T00:00:00Z,28.32110272,28.32110272,0,45.51801609,31.53353902,100,0,0,0
ACAD.OQ,2018-12-31T00:00:00Z,24.08988783,24.08988783,0,41.28568728,24.48252912,100,0,0,0
ACAD.OQ,2019-12-31T00:00:00Z,49.30971381,49.30971381,0,77.33507002,56.64864292,100,0,0,0
ACAD.OQ,2020-12-31T00:00:00Z,36.47942854,42.2770389,0,73.9903015,41.56742557,30.68181818,0,0,0
ACAD.OQ,2021-12-31T00:00:00Z,35.13381519,40.53790065,0,72.48629615,38.45462963,29.72972973,0,0,0
ACCD.OQ,2021-02-28T00:00:00Z,26.70064843,26.70064843,0,31.74235403,34.00092593,100,0,0,0
ACCD.OQ,2022-02-28T00:00:00Z,32.07345913,32.07345913,14.08199643,32.43464052,40.63577282,100,4.545454545,29.90196078,0
ACCD.OQ,,,,,,,,,,
ACCD.OQ,,,,,,,,,,
ACCO.N,2014-12-31T00:00:00Z,,,,,,,,,
ACCO.N,2015-12-31T00:00:00Z,53.36724335,53.36724335,33.62318841,64.85427157,52.51021242,100,88.26086957,0,0
ACCO.N,2016-12-31T00:00:00Z,46.28616163,57.57232325,32.8358209,64.3702387,66.2016496,35,86.19402985,0,0
ACCO.N,2017-12-31T00:00:00Z,60.17187505,60.17187505,34.31657848,64.40694701,72.85910182,100,88.51851852,1.785714286,0
ACCO.N,2018-12-31T00:00:00Z,71.15046901,71.15046901,57.33277648,78.15306122,71.87509706,100,92.1875,36.17647059,35.54216867
ACCO.N,2019-12-31T00:00:00Z,75.88746101,75.88746101,63.04213779,79.77025347,79.91784135,100,92.01030928,51.38248848,38.02083333
ACCO.N,2020-12-31T00:00:00Z,74.64961335,74.64961335,63.82848613,75.10174307,81.64668109,100,93.62139918,51.2962963,38.7254902
ACEL.N,2017-12-31T00:00:00Z,,,,,,,,,
ACEL.N,2018-12-31T00:00:00Z,,,,,,,,,
ACEL.N,2019-12-31T00:00:00Z,16.98383879,16.98383879,0,19.81914967,28.0163274,100,0,0,0
ACEL.N,2020-12-31T00:00:00Z,19.76636843,19.76636843,0,21.72729443,34.61471103,100,0,0,0
ACEL.N,2021-12-31T00:00:00Z,22.28587797,22.28587797,0,21.23749624,43.91574074,100,0,0,0
ACEL.N,,,,,,,,,,
ACER.OQ,2017-12-31T00:00:00Z,27.74163506,27.74163506,0,34.76042492,39.84116101,100,0,0,0
ACER.OQ,2018-12-31T00:00:00Z,24.95213391,24.95213391,0,39.11460444,28.6833056,100,0,0,0
ACER.OQ,2019-12-31T00:00:00Z,15.99867519,28.66401704,0,31.74635132,44.96501272,3.333333333,0,0,0
ACER.OQ,2020-12-31T00:00:00Z,22.04168235,22.04168235,0,34.36003896,25.51274567,100,0,0,0
ACER.OQ,2021-12-31T00:00:00Z,39.33141579,39.33141579,0,51.82587556,54.16851852,100,0,0,0
ACER.OQ,,,,,,,,,,
ACET.OQ,2020-12-31T00:00:00Z,,,,,,,,,
ACET.OQ,2021-12-31T00:00:00Z,30.3777085,30.3777085,0,52.74241917,30.25277778,100,0,0,0
ACET.OQ,,,,,,,,,,
ACET.OQ,,,,,,,,,,
ACHC.OQ,2015-12-31T00:00:00Z,15.66407736,15.66407736,0,27.1031746,9.769199346,100,0,0,0
ACHC.OQ,2016-12-31T00:00:00Z,17.10699415,17.54732163,0,28.38102809,13.3205347,16.66666667,0,0,0
ACHC.OQ,2017-12-31T00:00:00Z,27.81303006,27.81303006,10.92198582,38.54405034,23.38132785,100,23.40425532,0,0
ACHC.OQ,2018-12-31T00:00:00Z,43.0611818,43.0611818,17.21311475,54.18123322,42.64115363,100,36.8852459,0,0
